age,income,credit_score,prediction,target
39,63892.66321297462,769.9677718293001,0.4468098000184668,0
33,78641.24960705196,746.2316841456385,0.2795032984309865,0
41,29021.486392712883,702.9815184960087,0.17107318730966348,0
50,58444.538550358564,667.6531611147213,0.34874978894266,0
32,40240.361463172594,734.9111656806795,0.48478433888467287,0
32,42693.11924352956,719.6742692710875,0.5623335554103934,1
50,41114.091136416966,744.7596610013866,0.066028107172517,0
42,37040.138454802756,731.7585900840985,0.47801036279397796,0
30,50727.82441917241,752.4776357659667,0.3619557421910526,0
40,37535.748253834434,673.2382394219716,0.4016190764260652,0
30,54056.85238669758,765.8697032817163,0.14476908879022118,0
30,49246.42835826294,709.87998023462,0.14853618339714061,0
37,46415.77929700386,803.7630436312633,0.2673122822770018,0
15,36386.54506937603,665.5406090955216,0.2665058948831771,0
17,41348.43004147501,786.7981901582625,0.2016844401116823,0
29,61330.86838738634,709.8955391731324,0.5191348577625704,0
24,57513.75781436571,667.4290998192776,0.012576968831467977,0
38,35336.67132802174,675.8057082972839,0.23005953211192406,1
25,51489.98458143839,683.982634590284,0.08916247674529965,0
20,61270.80685057684,721.2082973200958,0.5437183231209585,0
49,24958.920783179423,726.141774401775,0.3380641675028336,0
32,58150.402885699026,671.314999803071,0.22099377678765253,1
35,40060.6436158123,698.7822703869508,0.1223216696690602,0
20,58558.98002889739,807.1135179305932,0.32715774615691906,0
29,38551.11265186225,786.3771585050356,0.09997482682028871,0
36,22926.768490032213,721.8161834837016,0.33759203987394115,0
23,25586.86343175256,701.90017390841,0.5828544730774738,0
38,50721.27419992073,706.001566335913,0.5490326088038333,0
28,53895.83752582223,730.6758986365209,0.1444002153105774,1
32,36435.25062343387,648.8603717400797,0.5397886850088234,0
28,59578.88688166061,687.1311731288328,0.04910391423801593,0
53,25077.1990659656,616.5707963061205,0.2269298672078842,0
34,49008.80302029025,719.9611561302639,0.1507116244682386,0
24,31834.757003563154,732.359796985137,0.039774266807851434,1
43,40222.45838296761,675.8406768850313,0.41995867755191874,0
22,50710.98006974621,778.6993381645017,0.4703209324057288,0
37,37093.799520740715,638.7117168498829,0.45932256242566094,0
15,44231.66683655262,626.781255989509,0.2928697416440325,0
21,65094.39213821661,711.2225909279986,0.3253208111970423,0
36,41346.62195715277,752.3549151306078,0.608299740483025,0
42,62535.38168097713,784.1963845728934,0.227995917813659,1
36,33054.397180135726,677.055786856553,0.3285833899501695,1
33,57947.06266872924,753.9340416715647,0.188908839828141,0
31,71623.5293098685,698.0745765249646,0.4759491652842039,1
20,12925.33249809066,691.368635002959,0.46195246754850827,0
27,38046.57116794285,744.1829968743336,0.33552196724204514,0
30,58656.0819077081,732.616143920671,0.2913305263540643,0
45,46954.31920935511,621.1803921507875,0.3010360813901332,0
38,55567.188100569634,773.8270174862948,0.32719066890772697,0
17,40940.222199262695,769.0045677073725,0.06764099286707154,0
38,51298.8468120935,668.7218649245235,0.33280396452018307,0
31,47664.84146911881,719.7901766718704,0.5689403837780265,0
28,67516.73092489711,724.701509314137,0.16873682327409087,0
41,53816.31264951819,713.0336882911954,0.32347850774297826,0
45,55064.039931128034,672.484742307729,0.25951423642259236,0
44,43821.84550816299,666.4188316030974,0.21073410761815942,0
26,42685.906638912595,698.7222964504277,0.44543893158488235,0
31,43511.627182705684,758.6364509629682,0.19252517781702655,0
38,55916.78213567445,727.1800077297216,0.42157302297519683,1
44,43685.232787696055,681.4692833956947,0.3147556062634345,0
30,54346.62285344619,738.5849355324173,0.08917514806890406,0
33,81131.01197968157,557.5728689684962,0.18139749745536857,1
23,63066.87055147538,757.4382850186051,0.28885207597984763,0
23,45109.647017482384,613.014311061095,0.19122046404901058,0
43,68018.20883245918,681.8779529298434,0.25463202598101103,0
48,43878.86940467673,644.0165052686928,0.26260915795931455,1
34,19428.13197233219,635.2659262139547,0.1868577020761625,0
45,34878.70533623894,758.041339368926,0.1235656832485277,0
38,21938.121184612166,676.6149399344055,0.3590902667010948,0
28,44727.29773938037,717.3251940865358,0.0072479127321231195,0
38,50276.27568784328,697.6539710560407,0.22541229173963975,0
50,75146.55968412924,723.8520413611561,0.3682584032090778,0
34,54903.91060646244,703.8410945530128,0.47005375734757493,0
50,46713.49206786704,635.8503887905715,0.23340795938545686,1
8,62441.083717752335,749.813340972357,0.604550623924786,0
43,16832.970364881723,675.3121708419344,0.11161825582150756,0
35,53534.21837162849,622.1709050670124,0.2918006363881575,1
32,61562.9779083045,678.5942419517044,0.24367885033200437,0
35,27821.206313302377,775.0379895317155,0.09117290073823889,0
15,67156.31064810394,742.5110871056746,0.34238261216894417,0
32,55077.44611241621,682.567393279607,0.2613583638874165,1
38,43770.68129148798,682.5371147840785,0.10545421749979744,0
49,59491.72799159427,683.9182474391308,0.33941958951777684,0
29,84060.39286706594,803.837399178042,0.06674404650508572,1
26,52727.99382587743,719.0967726115776,0.39484478584956023,0
29,53723.30879450504,721.5020823595535,0.17015973446901886,1
44,43109.58650689634,751.5141727015921,0.6912093386389426,1
38,37252.33445802813,711.9394579513257,0.17016504307163668,0
